row_id,workflow_type,task_count,instance,actual_num_tasks,num_edges,dag_depth,max_parallel_width,critical_path_tasks,num_task_categories,total_input_bytes,platform_name,num_hosts,cores_per_host,total_cores,speed_gf,net_bw,net_lat,disk_bw,watt_idle,watt_busy,makespan_sec,energy_joules
e7c878630f,Genome,150,4,148,215,3,77,3,4,121033708031,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,122.2712,11009.35
06b75a7d06,Genome,150,4,148,215,3,77,3,4,121033708031,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,121.1492,8824.73
21eb7f6071,Genome,150,4,148,215,3,77,3,4,121033708031,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,121.1037,54500.97
c647e8d1d3,Genome,150,5,148,224,3,84,3,4,110555859504,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,111.6924,2545.36
3687c3f463,Genome,150,5,148,224,3,84,3,4,110555859504,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,112.0141,10087.1
fbc82244f6,Genome,150,5,148,224,3,84,3,4,110555859504,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,110.7016,8063.81
c4cff01940,Genome,150,5,148,224,3,84,3,4,110555859504,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,110.628,14937.05
6e42ee23ed,Genome,150,5,148,224,3,84,3,4,110555859504,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,110.6269,49786.13
adcdd9f3cc,Genome,150,6,148,223,3,82,3,4,115085793916,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,116.1779,2643.58
e1eca3dbe7,Genome,150,6,148,223,3,82,3,4,115085793916,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,116.459,10485.38
3728a57b12,Genome,150,6,148,223,3,82,3,4,115085793916,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,115.2555,8395.39
3850c9dedc,Genome,150,6,148,223,3,82,3,4,115085793916,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,115.1808,15551.7
ed99a7c5ca,Genome,150,6,148,223,3,82,3,4,115085793916,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,115.1791,51834.66
88be9edf0c,Genome,150,7,148,219,3,81,3,4,108242647981,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,109.2367,2509.33
d85e8e68d6,Genome,150,7,148,219,3,81,3,4,108242647981,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,109.5846,9878.41
6f0f32c088,Genome,150,7,148,219,3,81,3,4,108242647981,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,108.3851,7895.71
96885e4ec9,Genome,150,7,148,219,3,81,3,4,108242647981,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,108.3327,14627.44
7abbe3726d,Genome,150,7,148,219,3,81,3,4,108242647981,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,108.3312,48753.55
c8f8325a71,Genome,150,8,148,222,3,82,3,4,105072671413,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,106.1344,2438.18
c3eff96f40,Genome,150,8,148,222,3,82,3,4,105072671413,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,106.3969,9591.17
45f4c057bd,Genome,150,8,148,222,3,82,3,4,105072671413,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,105.2129,7664.63
8f6faf5bfd,Genome,150,8,148,222,3,82,3,4,105072671413,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,105.1667,14199.96
40044c4c55,Genome,150,8,148,222,3,82,3,4,105072671413,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,105.1656,47328.89
998e48ede6,Genome,150,9,148,219,3,81,3,4,107117043555,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,108.4194,2500.97
f4d65c6016,Genome,150,9,148,219,3,81,3,4,107117043555,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,108.676,9801.86
452aec5d0b,Genome,150,9,148,219,3,81,3,4,107117043555,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,107.2618,7814.25
06e510a872,Genome,150,9,148,219,3,81,3,4,107117043555,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,107.2341,14479.28
2a09335db3,Genome,150,9,148,219,3,81,3,4,107117043555,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,107.2329,48259.55
a301da810e,Genome,150,10,148,221,3,83,3,4,104708274972,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,105.8997,2424.82
